customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,No,Yes,25,No,No,Fiber optic,No,No,No,Yes,No internet service,No,Month-to-month,No,Electronic check,75.7,1928.91,Yes
CUST-00002,Female,0,Yes,No,46,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),37.71,1740.62,No
CUST-00003,Male,0,Yes,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),75.22,3308.46,No
CUST-00004,Male,0,Yes,No,51,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,66.5,3400.12,No
CUST-00005,Female,0,No,No,1,No,Yes,DSL,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,88.79,29.7,Yes
CUST-00006,Female,0,Yes,No,17,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.19,1231.77,No
CUST-00007,Male,0,No,No,25,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,66.07,1687.59,Yes
CUST-00008,Male,0,Yes,Yes,43,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,47.87,2058.34,No
CUST-00009,Female,0,No,No,58,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,66.63,3838.8,No
CUST-00010,Male,0,No,Yes,25,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),81.04,1989.11,No
CUST-00011,Male,0,No,No,35,Yes,Yes,No,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.27,3172.98,Yes
CUST-00012,Female,0,No,No,63,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,Yes,Two year,Yes,Electronic check,39.38,2523.0,No
CUST-00013,Male,0,No,No,56,Yes,Yes,No,Yes,No,No internet service,No,No,No,Two year,Yes,Credit card (automatic),46.85,2674.71,No
CUST-00014,Male,0,No,Yes,9,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,57.42,489.01,Yes
CUST-00015,Female,1,No,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,88.57,2738.34,Yes
CUST-00016,Male,1,No,No,16,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,85.35,1371.33,Yes
CUST-00017,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),74.07,2362.37,Yes
CUST-00018,Male,0,Yes,No,2,Yes,Yes,DSL,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,51.23,108.4,Yes
CUST-00019,Male,0,Yes,Yes,14,Yes,No,No,Yes,No,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),50.97,663.37,Yes
CUST-00020,Female,0,No,No,1,Yes,No,No,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.53,115.99,Yes
CUST-00021,Male,0,Yes,No,45,No,No,Fiber optic,No,Yes,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),36.01,1634.43,No
CUST-00022,Female,0,Yes,No,25,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.77,2443.04,Yes
CUST-00023,Male,0,Yes,No,16,Yes,Yes,No,No,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,82.36,1389.61,Yes
CUST-00024,Male,1,Yes,No,15,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.22,1246.02,Yes
CUST-00025,Female,1,Yes,No,26,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,No,Month-to-month,No,Bank transfer (automatic),105.72,2657.86,Yes
CUST-00026,Female,0,No,No,42,Yes,No,No,No internet service,Yes,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),39.04,1703.89,No
CUST-00027,Female,0,Yes,Yes,14,Yes,No,DSL,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,80.3,1154.68,Yes
CUST-00028,Female,0,Yes,No,29,Yes,No,DSL,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,48.78,1401.79,Yes
CUST-00029,Female,0,Yes,Yes,21,Yes,No,Fiber optic,Yes,No internet service,No,No,No,Yes,One year,No,Electronic check,83.9,1764.36,No
CUST-00030,Female,1,Yes,No,15,Yes,No,DSL,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),54.63,813.57,Yes
CUST-00031,Female,0,Yes,No,12,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,69.02,748.9,No
CUST-00032,Male,0,Yes,No,8,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,105.76,776.18,Yes
CUST-00033,Male,0,Yes,Yes,34,Yes,No,No,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,84.69,2927.22,Yes
CUST-00034,Female,0,Yes,No,60,Yes,Yes,DSL,No internet service,No internet service,No,No,No internet service,No internet service,Two year,Yes,Mailed check,64.17,3870.69,No
